date,sp500
20110829,0.028404
20110830,0.002626
20110831,0.0051
20110901,-0.011889
20110902,-0.0251
20110906,-0.00728
20110907,0.029003
20110908,-0.010623
20110909,-0.02663
20110912,0.007052
20110913,0.009622
20110914,0.013543
20110915,0.017299
20110916,0.005782
20110919,-0.00972
20110920,-0.001807
20110921,-0.029179
20110922,-0.032021
20110923,0.00636
20110926,0.023156
20110927,0.010558
20110928,-0.020291
20110929,0.007898
20110930,-0.024877
20111003,-0.028378
20111004,0.022528
20111005,0.018251
20111006,0.018483
20111007,-0.007992
20111010,0.034095
20111011,0.000593
20111012,0.009966
20111013,-0.002926
20111014,0.017327
20111017,-0.019308
20111018,0.020516
20111019,-0.012532
20111020,0.004447
20111021,0.018775
20111024,0.013029
20111025,-0.020037
20111026,0.01024
20111027,0.034398
20111028,0.00042
20111031,-0.02482
20111101,-0.027867
20111102,0.016246
20111103,0.018892
20111104,-0.006251
20111107,0.006382
20111108,0.012425
20111109,-0.036672
20111110,0.008642
20111111,0.019601
